id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,room_type_number
1202135839113583134,Centro,Entire home/apt,4,2,2,2,714.0,8,5.0,0
1202141753086768218,Gávea,Entire home/apt,4,3,2,2,1071.0,6,5.0,0
1202149410106587986,Jacarepaguá,Entire home/apt,4,2,2,3,965.0,7,5.0,0
1202161282693619418,Copacabana,Entire home/apt,3,2,2,1,820.0,8,5.0,0
1202178715289482794,Copacabana,Private room,2,1,1,1,971.0,0,4.812309491059147,2
1202192487946654687,Jacarepaguá,Private room,2,1,1,1,250.0,7,5.0,2
1202201786515876510,Rocinha,Private room,2,1,1,2,80.0,0,4.812309491059147,2
1202207240533800154,Copacabana,Entire home/apt,4,2,2,3,1174.0,9,5.0,0
1199579493408878340,Glória,Entire home/apt,4,1,2,2,430.0,0,4.812309491059147,0
1199919493103136564,Recreio dos Bandeirantes,Entire home/apt,2,1,1,1,569.0,2,5.0,0
1199943847186622434,Botafogo,Private room,2,1,1,1,177.0,7,5.0,2
1200010541591466848,Santa Teresa,Entire home/apt,4,1,2,2,354.0,13,4.92,0
1200034125693252223,Jacarepaguá,Entire home/apt,4,1,1,2,200.0,8,5.0,0
1200047551491042021,Copacabana,Entire home/apt,5,1,1,3,1340.0,22,5.0,0
1200059253562686659,Jacarepaguá,Entire home/apt,5,2,2,4,121.0,0,4.812309491059147,0
1200081755790936076,Centro,Entire home/apt,2,1,1,1,419.0,27,4.89,0
1200095490719410459,Copacabana,Entire home/apt,6,1,1,2,499.0,42,5.0,0
1202221256632091316,Centro,Entire home/apt,4,1,1,2,700.0,0,4.812309491059147,0
1202272679780963378,Camorim,Entire home/apt,4,1,1,1,503.0,12,4.83,0
1202284682784917276,Freguesia (Jacarepaguá),Private room,1,1,1,2,200.0,2,5.0,2
1202290026993065692,Botafogo,Entire home/apt,2,1,1,2,394.0,2,5.0,0
1200135392844226111,Camorim,Private room,2,1,1,1,427.0,3,4.67,2
1200149020997892805,Botafogo,Private room,3,1,1,2,411.0,0,4.812309491059147,2
1200177898566791777,Botafogo,Private room,2,1,1,1,309.0,0,4.812309491059147,2
1200205666936126880,Engenho da Rainha,Entire home/apt,4,1,2,2,280.0,1,5.0,0
1200239581719611733,Copacabana,Entire home/apt,3,2,1,1,960.0,0,4.812309491059147,0
1200264664839059625,Copacabana,Entire home/apt,4,1,1,1,368.0,1,5.0,0
1200635345335925870,Jacarepaguá,Private room,3,1,1,3,200.0,2,5.0,2
1200670430910925204,Ipanema,Entire home/apt,6,2,3,5,800.0,0,4.812309491059147,0
1202306183174862413,Copacabana,Entire home/apt,2,1,1,1,721.0,4,5.0,0
1202314214012619136,Copacabana,Entire home/apt,5,1,1,2,755.0,9,4.22,0
1202340135312299659,Copacabana,Entire home/apt,2,1,1,1,463.0,9,4.0,0
1202377674961207523,Leblon,Entire home/apt,4,1,2,3,495.0,6,4.83,0
1202451775310666293,Centro,Entire home/apt,4,1,1,1,254.0,5,5.0,0
1202768730128014436,Vila Valqueire,Private room,2,1,1,1,130.0,4,5.0,2
1200692159240030827,Barra de Guaratiba,Private room,2,0,1,1,240.0,0,4.812309491059147,2
1200722605890685713,Copacabana,Entire home/apt,4,1,1,2,1354.0,4,5.0,0
1200749225590277355,Ipanema,Entire home/apt,4,2,1,2,1066.0,11,5.0,0
1200769557920683881,Copacabana,Entire home/apt,4,1,1,3,1003.0,5,5.0,0
1200806060749646228,Leme,Entire home/apt,4,2,1,2,1079.0,11,5.0,0
1200821518690449487,Recreio dos Bandeirantes,Entire home/apt,5,2,3,3,926.0,1,5.0,0
1200823500496484123,Centro,Private room,2,1,1,1,320.0,6,5.0,2
1202817454560466968,Botafogo,Private room,1,1,1,1,339.0,1,5.0,2
